generator,n_samples,n_correct,accuracy,recall,specificity
VQDM,28243,27941,0.9893070849414014,0.9912994270354389,
Wukong,27962,27693,0.9903798011587154,0.9930890504643294,
ADM,28281,28024,0.99091262685195,0.9931112847098927,
Stable Diffusion v1.5,27728,27478,0.9909838430467398,0.993960310612597,
Stable Diffusion v1.4,28037,27788,0.9911188786246745,0.9930020499045734,
Glide,27980,27735,0.9912437455325233,0.992462311557789,
Midjourney,27769,27536,0.9916093485541431,0.9927096867330735,
